datetime,T1,T2,T3
01/01/2023 00:00,21.5,19.8,22.1
01/01/2023 00:10,21.4,19.8,22
01/01/2023 00:20,21.4,19.7,21.9
01/01/2023 00:30,21.3,19.7,21.9
01/01/2023 00:40,21.3,19.6,21.8
01/01/2023 00:50,21.2,19.6,21.8
01/01/2023 01:00,21.2,19.5,21.7
01/01/2023 01:10,21.1,19.5,21.7
01/01/2023 01:20,21.1,19.4,21.6
01/01/2023 01:30,21,19.4,21.5
01/01/2023 01:40,21.5,19.8,22.1
01/01/2023 01:50,21.4,19.8,22
01/01/2023 02:00,21.4,19.7,21.9
01/01/2023 02:10,21.3,19.7,21.9
01/01/2023 02:20,21.3,19.6,21.8
01/01/2023 02:30,21.2,19.6,21.8
01/01/2023 02:40,21.2,19.5,21.7
01/01/2023 02:50,21.1,19.5,21.7
01/01/2023 03:00,21.1,19.4,21.6
01/01/2023 03:10,21,19.4,21.5
01/01/2023 03:20,21.5,19.8,22.1
01/01/2023 03:30,21.4,19.8,22
01/01/2023 03:40,21.4,19.7,21.9
01/01/2023 03:50,21.3,19.7,21.9
01/01/2023 04:00,21.3,19.6,21.8
01/01/2023 04:10,21.2,19.6,21.8
01/01/2023 04:20,21.2,19.5,21.7
01/01/2023 04:30,21.1,19.5,21.7
01/01/2023 04:40,21.1,19.4,21.6
01/01/2023 04:50,21,19.4,21.5
01/01/2023 05:00,21.5,19.8,22.1
01/01/2023 05:10,21.4,19.8,22
01/01/2023 05:20,21.4,19.7,21.9
01/01/2023 05:30,21.3,19.7,21.9
01/01/2023 05:40,21.3,19.6,21.8
01/01/2023 05:50,21.2,19.6,21.8
01/01/2023 06:00,21.2,19.5,21.7
01/01/2023 06:10,21.1,19.5,21.7
01/01/2023 06:20,21.1,19.4,21.6
01/01/2023 06:30,21,19.4,21.5
01/01/2023 06:40,21.5,19.8,22.1
01/01/2023 06:50,21.4,19.8,22
01/01/2023 07:00,21.4,19.7,21.9
01/01/2023 07:10,21.3,19.7,21.9
01/01/2023 07:20,21.3,19.6,21.8
01/01/2023 07:30,21.2,19.6,21.8
01/01/2023 07:40,21.2,19.5,21.7
01/01/2023 07:50,21.1,19.5,21.7
01/01/2023 08:00,21.1,19.4,21.6
01/01/2023 08:10,21,19.4,21.5
01/01/2023 08:20,21.5,19.8,22.1
01/01/2023 08:30,21.4,19.8,22
01/01/2023 08:40,21.4,19.7,21.9
01/01/2023 08:50,21.3,19.7,21.9
01/01/2023 09:00,21.3,19.6,21.8
01/01/2023 09:10,21.2,19.6,21.8
01/01/2023 09:20,21.2,19.5,21.7
01/01/2023 09:30,21.1,19.5,21.7
01/01/2023 09:40,21.1,19.4,21.6
01/01/2023 09:50,21,19.4,21.5
01/01/2023 10:00,21.5,19.8,22.1
01/01/2023 10:10,21.4,19.8,22
01/01/2023 10:20,21.4,19.7,21.9
01/01/2023 10:30,21.3,19.7,21.9
01/01/2023 10:40,21.3,19.6,21.8
01/01/2023 10:50,21.2,19.6,21.8
01/01/2023 11:00,21.2,19.5,21.7
01/01/2023 11:10,21.1,19.5,21.7
01/01/2023 11:20,21.1,19.4,21.6
01/01/2023 11:30,21,19.4,21.5
01/01/2023 11:40,21.5,19.8,22.1
01/01/2023 11:50,21.4,19.8,22
01/01/2023 12:00,21.4,19.7,21.9
01/01/2023 12:10,21.3,19.7,21.9
01/01/2023 12:20,21.3,19.6,21.8
01/01/2023 12:30,21.2,19.6,21.8
01/01/2023 12:40,21.2,19.5,21.7
01/01/2023 12:50,21.1,19.5,21.7
01/01/2023 13:00,21.1,19.4,21.6
01/01/2023 13:10,21,19.4,21.5
01/01/2023 13:20,21.5,19.8,22.1
01/01/2023 13:30,21.4,19.8,22
01/01/2023 13:40,21.4,19.7,21.9
01/01/2023 13:50,21.3,19.7,21.9
01/01/2023 14:00,21.3,19.6,21.8
01/01/2023 14:10,21.2,19.6,21.8
01/01/2023 14:20,21.2,19.5,21.7
01/01/2023 14:30,21.1,19.5,21.7
01/01/2023 14:40,21.1,19.4,21.6
01/01/2023 14:50,21,19.4,21.5
01/01/2023 15:00,21.5,19.8,22.1
01/01/2023 15:10,21.4,19.8,22
01/01/2023 15:20,21.4,19.7,21.9
01/01/2023 15:30,21.3,19.7,21.9
01/01/2023 15:40,21.3,19.6,21.8
01/01/2023 15:50,21.2,19.6,21.8
01/01/2023 16:00,21.2,19.5,21.7
01/01/2023 16:10,21.1,19.5,21.7
01/01/2023 16:20,21.1,19.4,21.6
01/01/2023 16:30,21,19.4,21.5
01/01/2023 16:40,21.5,19.8,22.1
01/01/2023 16:50,21.4,19.8,22
01/01/2023 17:00,21.4,19.7,21.9
01/01/2023 17:10,21.3,19.7,21.9
01/01/2023 17:20,21.3,19.6,21.8
01/01/2023 17:30,21.2,19.6,21.8
01/01/2023 17:40,21.2,19.5,21.7
01/01/2023 17:50,21.1,19.5,21.7
01/01/2023 18:00,21.1,19.4,21.6
01/01/2023 18:10,21,19.4,21.5
01/01/2023 18:20,21.5,19.8,22.1
01/01/2023 18:30,21.4,19.8,22
01/01/2023 18:40,21.4,19.7,21.9
01/01/2023 18:50,21.3,19.7,21.9
01/01/2023 19:00,21.3,19.6,21.8
01/01/2023 19:10,21.2,19.6,21.8
01/01/2023 19:20,21.2,19.5,21.7
01/01/2023 19:30,21.1,19.5,21.7
01/01/2023 19:40,21.1,19.4,21.6
01/01/2023 19:50,21,19.4,21.5
